id,subject,body,intent,technique,target,spoofed_sender,label,predicted_label,auto_response
phish-0011,Security Patch Required,Install this critical update to avoid system failure: [attachment: patch.exe],Malware Delivery,Fake Software Update,IT Users,updates@microsoft-support.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0012,Your Subscription is Expiring,Renew your streaming account now: https://netf1ix-renewal.com,Credential Harvesting,Homoglyph Link Spoofing,Streaming Service,billing@netflix-notify.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0013,Charity Donation Request,Support our cause! Donate now at: https://charity-aid.org,Financial Scam,Fake Charity Appeal,General Public,donate@relief-fund.org,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0014,Account Lockout Warning,Your email account will be disabled. Verify: https://0utlook-security.com,Credential Harvesting,Homoglyph Link Spoofing,Email Service,security@outlook-notify.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0015,Job Offer: Work From Home,Join our team! Submit your resume here: [attachment: job_application.doc],Malware Delivery,Attachment with Malicious Payload,Job Seekers,hr@remotejobs.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0016,Your Account Needs Attention,Unusual activity detected. Secure your account: https://paypa1-login.com,Credential Harvesting,Homoglyph Link Spoofing,Payment Service,security@paypal-alert.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0017,Free VPN Trial,Try our premium VPN for free! Install now: [attachment: vpn_setup.exe],Malware Delivery,Fake Software Offer,Tech Users,support@securevpn.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0018,Legal Notice: Action Required,You are summoned for a legal matter. View details: https://court-notice.org,Credential Harvesting,Fake Legal Threat,General Public,clerk@courtservice.org,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0019,Your Loyalty Points Expire Soon,Redeem your points now: https://rewardspoints.net,Credential Harvesting,Fake Reward Urgency,Retail,rewards@target-offers.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0020,Critical HR Update,New company policy effective immediately. Review: [attachment: policy_update.pdf],Malware Delivery,Attachment with Malicious Payload,Corporate,hr@company.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0021,Password Policy Violation,Your password does not meet requirements. Update: https://secure-login-verify.com,Credential Harvesting,Fake Policy Alert,Corporate,it@company-security.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0022,Exclusive Beta Access,Join our beta program! Install now: [attachment: beta_app.apk],Malware Delivery,Fake Beta Offer,Tech Enthusiasts,beta@techinnovate.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0023,Your Flight is Canceled,Rebook your flight now: https://air1ine-booking.com,Credential Harvesting,Homoglyph Link Spoofing,Travel,support@united-air.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0024,Urgent: Data Breach Alert,Your data may be compromised. Secure now: https://datasecure-alert.com,Credential Harvesting,Fake Breach Notification,General Public,security@data-protect.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0025,Invoice Dispute Notice,Disputed invoice detected. Resolve now: [attachment: dispute_form.doc],Malware Delivery,Attachment with Malicious Payload,SMBs / Finance,accounts@vendorresolve.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0026,Free Cloud Backup Offer,Secure your files with our free backup: https://c1oud-backup.com,Credential Harvesting,Homoglyph Link Spoofing,Cloud Storage,support@backup-service.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0027,Your Account is Overdrawn,Avoid fees by transferring funds now: https://bank-secure.com,Financial Scam,Fake Financial Alert,Banking,alert@wellsfargo-notify.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0028,Survey: Win a Prize,Complete our survey for a chance to win: https://survey-rewards.net,Credential Harvesting,Fake Survey Scam,General Public,rewards@surveyhub.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0029,Critical System Update,Your device requires an urgent update: [attachment: system_patch.exe],Malware Delivery,Fake Software Update,General Users,updates@device-support.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0030,Your Subscription Needs Verification,Verify your account to continue: https://str3am-verify.com,Credential Harvesting,Homoglyph Link Spoofing,Streaming Service,billing@stream-service.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0031,Partner Program Enrollment,Join our exclusive partner program: https://partner-scam.org,Credential Harvesting,Fake Business Opportunity,SMBs,partners@businessgrow.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0032,Your Account is Flagged,Suspicious activity detected. Verify identity: https://secure-id-check.com,Credential Harvesting,Fake Security Alert,Email Service,security@outlook-alert.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0033,Free Antivirus Protection,Protect your device now: [attachment: antivirus_install.exe],Malware Delivery,Fake Software Offer,General Users,support@antivirus-free.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0034,Your Warranty is Expiring,Extend your warranty now: https://warranty-extend.net,Financial Scam,Fake Warranty Offer,Consumers,support@warranty-service.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0035,Employee Benefits Update,Review your new benefits package: [attachment: benefits.doc],Malware Delivery,Attachment with Malicious Payload,Corporate,hr@company-benefits.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0036,Account Upgrade Required,Upgrade your account to avoid suspension: https://1inkedin-upgrade.com,Credential Harvesting,Homoglyph Link Spoofing,Social Media,support@linkedin-notify.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0037,Investment Opportunity,Invest in our startup for high returns: https://invest-scam.com,Financial Scam,Fake Investment Offer,Investors,info@startupfund.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0038,Your Card is Blocked,Your credit card is locked. Unlock now: https://card-secure.com,Credential Harvesting,Fake Financial Alert,Banking,security@visa-alert.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0039,Free Trial: Premium Software,Try our software for free: [attachment: premium_trial.exe],Malware Delivery,Fake Software Offer,Tech Users,support@softpremium.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0040,Your Account is Compromised,Secure your account now: https://tw1tter-security.com,Credential Harvesting,Homoglyph Link Spoofing,Social Media,security@twitter-alert.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0041,Tax Audit Notification,You are selected for an audit. Submit details: https://tax-audit.org,Credential Harvesting,Fake Government Alert,Taxpayers,audit@irs-service.org,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0042,Your Order is On Hold,Update payment details to release order: https://shop-secure.com,Credential Harvesting,Fake Transaction Alert,E-commerce,support@shopnow.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0043,Security Training Required,Complete mandatory training: [attachment: training_module.exe],Malware Delivery,Attachment with Malicious Payload,Corporate,compliance@company.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0044,Exclusive Event Invitation,Join our VIP event: https://event-scam.com,Credential Harvesting,Fake Event Invite,General Public,events@vipclub.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0045,Your Device is Infected,Remove malware now: [attachment: cleaner.exe],Malware Delivery,Fake Security Software,General Users,support@device-clean.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0046,Account Review Required,Your account needs review. Verify: https://amaz0n-account.com,Credential Harvesting,Homoglyph Link Spoofing,E-commerce,security@amazon-notify.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0047,Your Loan is Approved,Claim your loan funds now: https://loan-scam.com,Financial Scam,Fake Loan Offer,Consumers,loans@financehub.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0048,System Maintenance Alert,Scheduled maintenance requires action: [attachment: maintenance_tool.exe],Malware Delivery,Fake System Alert,IT Users,it@system-support.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0049,Your Benefits are Expiring,Update your benefits plan: https://benefits-secure.com,Credential Harvesting,Fake Benefits Alert,Corporate,hr@benefits-update.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0050,Free Cloud Storage Offer,Get 1TB free storage: https://c1oud-storage.com,Credential Harvesting,Homoglyph Link Spoofing,Cloud Storage,support@cloudfree.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
legit-001,Your GitHub Invoice,Thank you for being a GitHub Pro user. Your monthly invoice is available in your account.,Transactional,None,GitHub,billing@github.com,benign,benign,✅ Safe – Delivered to inbox
legit-002,Team Meeting Reminder,Join us for the weekly team meeting tomorrow at 9 AM. Check the calendar for details.,Informational,None,Corporate,hr@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-003,Order Confirmation #45678,Your order has been shipped and will arrive in 3-5 days. Track it in your account.,Transactional,None,E-commerce,orders@amazon.com,benign,benign,✅ Safe – Delivered to inbox
legit-004,Password Reset Confirmation,Your password was successfully reset. Contact support if this wasn’t you.,Security Notification,None,Email Service,security@outlook.com,benign,benign,✅ Safe – Delivered to inbox
legit-005,Your Subscription Renewal,Your Netflix plan has been renewed. View billing details in your account.,Transactional,None,Streaming Service,billing@netflix.com,benign,benign,✅ Safe – Delivered to inbox
legit-006,Welcome to Our Newsletter,Thanks for subscribing! Expect weekly updates on our products and offers.,Informational,None,Retail,news@target.com,benign,benign,✅ Safe – Delivered to inbox
legit-007,Your Flight Itinerary,Your flight to New York is confirmed. Check-in opens 24 hours before departure.,Transactional,None,Travel,reservations@united.com,benign,benign,✅ Safe – Delivered to inbox
legit-008,System Maintenance Notice,Scheduled maintenance on 5/20/2025 from 1 AM to 3 AM. Expect brief downtime.,Informational,None,IT Users,it@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-009,Your Bank Statement,Your monthly statement is ready. Log in to view or download it.,Transactional,None,Banking,statements@bankofamerica.com,benign,benign,✅ Safe – Delivered to inbox
legit-010,Project Update,The Q2 project report is available in the shared drive. Review by EOD.,Informational,None,Corporate,pm@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-011,Your Cloud Storage Plan,You’ve used 80% of your Dropbox storage. Upgrade or manage files.,Informational,None,Cloud Storage,support@dropbox.com,benign,benign,✅ Safe – Delivered to inbox
legit-012,Event Invitation: Annual Conference,Join us for our 2025 conference on 6/10. RSVP by 5/30.,Informational,None,General Public,events@industryconf.com,benign,benign,✅ Safe – Delivered to inbox
legit-013,Your Insurance Policy Update,Your policy details have been updated. Review them in your portal.,Transactional,None,Healthcare,support@bluecross.com,benign,benign,✅ Safe – Delivered to inbox
legit-014,Security Settings Updated,Two-factor authentication was enabled on your account. Contact us if needed.,Security Notification,None,Social Media,security@facebook.com,benign,benign,✅ Safe – Delivered to inbox
legit-015,Your Subscription Receipt,Thank you for your Spotify Premium subscription. Receipt available online.,Transactional,None,Streaming Service,billing@spotify.com,benign,benign,✅ Safe – Delivered to inbox
legit-016,Weekly Team Sync,Reminder: Weekly sync at 2 PM tomorrow. Agenda shared in Slack.,Informational,None,Corporate,team@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-017,Order Shipped #98765,Your package is on its way. Expected delivery: 5/22/2025.,Transactional,None,E-commerce,orders@walmart.com,benign,benign,✅ Safe – Delivered to inbox
legit-018,Account Activity Summary,Your recent Google account activity is available for review.,Informational,None,Google,no-reply@google.com,benign,benign,✅ Safe – Delivered to inbox
legit-019,Your Donation Receipt,Thank you for your $50 donation. Your receipt is attached.,Transactional,None,Charity,donations@redcross.org,benign,benign,✅ Safe – Delivered to inbox
legit-020,Software Update Available,A new version of your app is ready. Update via the app store.,Informational,None,Tech Users,updates@apple.com,benign,benign,✅ Safe – Delivered to inbox
legit-021,Your Benefits Enrollment,Open enrollment for 2025 benefits starts 6/1. Log in to choose your plan.,Informational,None,Corporate,hr@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-022,Payment Confirmation,Your payment of $99.99 was received. View transaction details online.,Transactional,None,Payment Service,billing@paypal.com,benign,benign,✅ Safe – Delivered to inbox
legit-023,Upcoming Webinar,Join our webinar on AI trends on 5/25 at 3 PM. Register now.,Informational,None,Tech Enthusiasts,events@techhub.com,benign,benign,✅ Safe – Delivered to inbox
legit-024,Your Travel Insurance,Your travel insurance policy is active. View coverage details.,Transactional,None,Travel,support@allianz.com,benign,benign,✅ Safe – Delivered to inbox
legit-025,Account Settings Updated,Your profile was updated. Contact support if you didn’t make this change.,Security Notification,None,Social Media,security@linkedin.com,benign,benign,✅ Safe – Delivered to inbox
legit-026,Your Monthly Report,Your analytics report for April is ready. Download from the dashboard.,Informational,None,Corporate,reports@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-027,Order Delivered #54321,Your order was delivered today. Contact us for any issues.,Transactional,None,E-commerce,support@ebay.com,benign,benign,✅ Safe – Delivered to inbox
legit-028,Security Reminder,Enable 2FA to secure your account. Visit settings to set it up.,Security Notification,None,Email Service,security@gmail.com,benign,benign,✅ Safe – Delivered to inbox
legit-029,Your Subscription Details,Your Adobe Creative Cloud plan is active. Manage it in your account.,Transactional,None,Software Service,billing@adobe.com,benign,benign,✅ Safe – Delivered to inbox
legit-030,Team Outing Details,Join us for the team outing on 6/5. RSVP by 5/28.,Informational,None,Corporate,events@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-031,Your Refund Processed,Your refund of $29.99 has been processed. Expect funds in 3-5 days.,Transactional,None,E-commerce,refunds@bestbuy.com,benign,benign,✅ Safe – Delivered to inbox
legit-032,Product Update,New features added to your software. Check the changelog for details.,Informational,None,Tech Users,updates@microsoft.com,benign,benign,✅ Safe – Delivered to inbox
legit-033,Your Appointment Confirmation,Your doctor’s appointment is scheduled for 5/21 at 10 AM.,Transactional,None,Healthcare,appointments@clinic.com,benign,benign,✅ Safe – Delivered to inbox
legit-034,Password Change Confirmation,Your Twitter password was changed. Contact us if this wasn’t you.,Security Notification,None,Social Media,security@twitter.com,benign,benign,✅ Safe – Delivered to inbox
legit-035,Your Loyalty Points,You’ve earned 100 points! Redeem them in your rewards portal.,Informational,None,Retail,rewards@starbucks.com,benign,benign,✅ Safe – Delivered to inbox
legit-036,Your Tax Documents,Your 2024 tax documents are ready. Access them in your account.,Transactional,None,Taxpayers,documents@turbotax.com,benign,benign,✅ Safe – Delivered to inbox
legit-037,System Status Update,All systems are operational. Contact support for any issues.,Informational,None,IT Users,status@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-038,Your Booking Confirmation,Your hotel booking for 6/1-6/3 is confirmed. View details online.,Transactional,None,Travel,reservations@booking.com,benign,benign,✅ Safe – Delivered to inbox
legit-039,Account Activity Notice,Recent login to your account was successful. Review activity in settings.,Security Notification,None,Cloud Storage,security@onedrive.com,benign,benign,✅ Safe – Delivered to inbox
legit-040,Your Monthly Newsletter,Check out our latest products and offers in this month’s newsletter.,Informational,None,Retail,news@nike.com,benign,benign,✅ Safe – Delivered to inbox
legit-041,Payment Received,Your payment of $49.99 was successful. Receipt available in your account.,Transactional,None,Payment Service,billing@stripe.com,benign,benign,✅ Safe – Delivered to inbox
legit-042,Training Session Reminder,Mandatory training session on 5/23 at 11 AM. Details in email.,Informational,None,Corporate,training@company.com,benign,benign,✅ Safe – Delivered to inbox
legit-043,Your Warranty Details,Your product warranty is active until 5/19/2026. View terms online.,Informational,None,Consumers,support@samsung.com,benign,benign,✅ Safe – Delivered to inbox
legit-044,Account Verification Complete,Your account is now verified. Start using all features today.,Informational,None,Social Media,support@instagram.com,benign,benign,✅ Safe – Delivered to inbox
legit-045,Your Order Update,Your order #78901 is being processed. Expect shipping soon.,Transactional,None,E-commerce,orders@etsy.com,benign,benign,✅ Safe – Delivered to inbox
legit-046,Security Update,We’ve updated our security protocols. Review them in your account.,Informational,None,Banking,security@chase.com,benign,benign,✅ Safe – Delivered to inbox
legit-047,Event Registration Confirmation,You’re registered for our 5/30 workshop. Details sent to your calendar.,Transactional,None,General Public,events@eventbrite.com,benign,benign,✅ Safe – Delivered to inbox
legit-048,Your Cloud Backup Status,Your files were backed up successfully. View status in your account.,Informational,None,Cloud Storage,support@google-drive.com,benign,benign,✅ Safe – Delivered to inbox
legit-049,Your Subscription Update,Your plan has been upgraded. Enjoy new features starting today.,Transactional,None,Software Service,billing@zoom.us,benign,benign,✅ Safe – Delivered to inbox
legit-050,Customer Feedback Request,We’d love your feedback on your recent purchase. Take our quick survey.,Informational,None,Retail,feedback@homedepot.com,benign,benign,✅ Safe – Delivered to inbox
phish-0051,Verify Your Account Now,Your account will be disabled in 12 hours. Verify at: https://secure-1ogin.com,Credential Harvesting,Link Spoofing with Urgency,Banking,security@bankofamerica.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0052,Overdue Invoice #7832,Download your invoice and settle payment: [attachment: invoice.pdf],Fake Invoice/Download,Attachment with Malicious Payload,SMBs / Finance,billing@payvendor.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0053,Suspicious Login Attempt,Login detected from Nigeria. Reset password: https://g00gle-account.com,Credential Harvesting,Urgency Alert/Fake Login with Homoglyph,Google,no-reply@g00gle.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0054,Tax Return Error,Your tax return has issues. Correct now: https://irs-g0v.com,Credential Harvesting,Link Spoofing with Fake Government Alert,Taxpayers,support@irs-service.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0055,Package Delivery Issue,Update your delivery details: [attachment: shipping_form.exe],Malware Attachment,Attachment with Malicious Payload,E-commerce,support@dhl-delivery.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0056,Account Suspension Alert,Your account is at risk. Secure it: https://faceb00k-security.com,Credential Harvesting,Urgency Alert/Fake Login,Social Media,alert@facebook.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0057,$500 Gift Card Offer,Claim your gift card now: https://amaz0n-rewards.com,HR/Scam/Reward,Fake Reward with Homoglyph,Retail,rewards@amazon-offer.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0058,Insurance Plan Renewal,Renew your plan to avoid cancellation: https://heathcare-plan.com,Credential Harvesting,Link Spoofing,Healthcare,support@humana.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0059,Urgent CEO Request,"Transfer $15,000 to new vendor. Details: [attachment: payment.doc]",HR/Scam/Reward,Business Email Compromise,Corporate,ceo@company.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0060,Cloud Storage Full,Upgrade your storage now: https://dr0pbox-upgrade.com,Credential Harvesting,Link Spoofing with Homoglyph,Cloud Storage,support@dropbox.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0061,Critical Update Required,Install this update to avoid crashes: [attachment: system_patch.exe],Malware Attachment,Fake Software Update,IT Users,updates@microsoft.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0062,Streaming Account Expiring,Renew your account: https://netf1ix-login.com,Credential Harvesting,Link Spoofing with Homoglyph,Streaming Service,billing@netflix.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0063,Charity Donation Urgent,Donate to our cause: https://relief-fund.org,HR/Scam/Reward,Fake Charity Appeal,General Public,donate@charity.org,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0064,Email Account Lockout,Verify your email to avoid deactivation: https://0utlook-verify.com,Credential Harvesting,Urgency Alert/Fake Login with Homoglyph,Email Service,security@outlook.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0065,Job Opportunity,Apply now for remote work: [attachment: job_offer.doc],Malware Attachment,Attachment with Malicious Payload,Job Seekers,hr@workremote.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0066,Payment Account Issue,Secure your account: https://paypa1-secure.com,Credential Harvesting,Link Spoofing with Homoglyph,Payment Service,security@paypal.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0067,Free VPN Software,Install our free VPN: [attachment: vpn_install.exe],Malware Attachment,Fake Software Offer,Tech Users,support@vpnsecure.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0068,Legal Action Notice,View your legal notice: https://court-documents.org,Credential Harvesting,Fake Legal Threat,General Public,clerk@courts.org,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0069,Loyalty Points Expiring,Redeem points now: https://rewards-points.com,HR/Scam/Reward,Fake Reward Urgency,Retail,rewards@target.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0070,HR Policy Update,Review new policy: [attachment: hr_policy.pdf],Malware Attachment,Attachment with Malicious Payload,Corporate,hr@company.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0071,Password Policy Violation,Update password now: https://secure-pass.com,Credential Harvesting,Urgency Alert/Fake Login,Corporate,it@company.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0072,Beta Software Access,Join our beta test: [attachment: beta_app.exe],Malware Attachment,Fake Beta Offer,Tech Enthusiasts,beta@techcompany.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0073,Flight Cancellation,Rebook your flight: https://air1ine-reschedule.com,Credential Harvesting,Link Spoofing with Homoglyph,Travel,support@delta.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0074,Data Breach Alert,Secure your data: https://datasecure-alert.com,Credential Harvesting,Urgency Alert/Fake Login,General Public,security@dataprotect.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0075,Invoice Dispute #4567,Resolve invoice issue: [attachment: dispute.doc],Fake Invoice/Download,Attachment with Malicious Payload,SMBs / Finance,accounts@vendor.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0076,Free Cloud Backup,Get free backup: https://c1oud-backup.com,Credential Harvesting,Link Spoofing with Homoglyph,Cloud Storage,support@cloudbackup.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0077,Account Overdrawn,Transfer funds now: https://bank-alert.com,HR/Scam/Reward,Fake Financial Alert,Banking,alert@wellsfargo.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0078,Win a Free Trip,Enter our travel giveaway: https://travel-prize.com,HR/Scam/Reward,Fake Reward,General Public,promotions@travelclub.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0079,System Update Urgent,Install update now: [attachment: update.exe],Malware Attachment,Fake Software Update,General Users,updates@systemcare.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0080,Subscription Verification,Verify your account: https://str3am-verify.com,Credential Harvesting,Link Spoofing with Homoglyph,Streaming Service,billing@streamnow.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0081,Business Partner Offer,Join our program: https://partner-scam.com,HR/Scam/Reward,Fake Business Opportunity,SMBs,partners@businesshub.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0082,Account Flagged,Verify identity now: https://secure-id.com,Credential Harvesting,Urgency Alert/Fake Login,Email Service,security@gmail.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0083,Free Antivirus Offer,Protect your device: [attachment: antivirus.exe],Malware Attachment,Fake Software Offer,General Users,support@antivirus.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0084,Warranty Extension Offer,Extend warranty now: https://warranty-plan.com,HR/Scam/Reward,Fake Warranty Offer,Consumers,support@warrantypro.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0085,Benefits Update,Review benefits changes: [attachment: benefits.pdf],Malware Attachment,Attachment with Malicious Payload,Corporate,hr@companybenefits.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0086,Account Upgrade Needed,Upgrade now: https://1inkedin-upgrade.com,Credential Harvesting,Link Spoofing with Homoglyph,Social Media,support@linkedin.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0087,Investment Offer,Invest for high returns: https://invest-now.com,HR/Scam/Reward,Fake Investment Offer,Investors,info@investmentfirm.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0088,Card Blocked Alert,Unlock your card: https://visa-secure.com,Credential Harvesting,Urgency Alert/Fake Login,Banking,security@visa.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0089,Premium Software Trial,Try our software: [attachment: trial.exe],Malware Attachment,Fake Software Offer,Tech Users,support@softwarepro.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0090,Account Compromised,Secure now: https://tw1tter-security.com,Credential Harvesting,Link Spoofing with Homoglyph,Social Media,security@twitter.com,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
phish-0091,Tax Audit Notice,Submit audit details: https://tax-audit.com,Credential Harvesting,Fake Government Alert,Taxpayers,audit@irs.gov,phishing,phishing,⚠️ Phishing detected – Email quarantined & user alerted
